Season,Name,Team,playerid
2010,David Ortiz,Red Sox,745
2006,David Wright,Mets,3787
2003,Sammy Sosa,Cubs,302
2005,Gary Sheffield,Yankees,114
2016,Paul Goldschmidt,Diamondbacks,9218
2010,Dan Uggla,Marlins,3442
2004,Ivan Rodriguez,Tigers,1275
2006,Pat Burrell,Phillies,949
2006,Aramis Ramirez,Cubs,1002
2006,Adam LaRoche,Braves,1904
2011,Giancarlo Stanton,Marlins,4949
2013,Matt Carpenter,Cardinals,8090
2010,Prince Fielder,Brewers,4613
2008,Brad Hawpe,Rockies,1885
2010,Adam Dunn,Nationals,319
2011,Adrian Beltre,Rangers,639
2002,Tim Salmon,Angels,32
2002,Mike Piazza,Mets,893
2003,Dmitri Young,Tigers,505
2009,Mark Reynolds,Diamondbacks,7619
2015,Andrew McCutchen,Pirates,9847
2004,Mark Loretta,Padres,1383
2006,J.D. Drew,Dodgers,1152
2014,Adrian Beltre,Rangers,639
2012,Josh Willingham,Twins,2103
2005,Jeff Kent,Dodgers,1119
2015,David Peralta,Diamondbacks,2136
2011,Carlos Gonzalez,Rockies,7287
2003,Derrek Lee,Marlins,525
2006,Vernon Wells,Blue Jays,1326
2009,Hideki Matsui,Yankees,1659
2003,Bobby Abreu,Phillies,945
2014,Yasiel Puig,Dodgers,14225
2010,Adrian Gonzalez,Padres,1908
2016,Mookie Betts,Red Sox,13611
2004,Carlos Lee,White Sox,243
2006,Brad Hawpe,Rockies,1885
2010,Nick Swisher,Yankees,4599
2005,David Dellucci,Rangers,1402
2007,Edgar Renteria,Braves,1178
2007,Mike Lowell,Red Sox,527
2008,Joe Mauer,Twins,1857
2005,Geoff Jenkins,Brewers,690
2005,Bobby Abreu,Phillies,945
2005,Troy Glaus,Diamondbacks,15
2015,David Ortiz,Red Sox,745
2004,Alex Rodriguez,Yankees,1274
2013,Adrian Beltre,Rangers,639
2007,Alfonso Soriano,Cubs,847
2010,Kelly Johnson,Diamondbacks,2234
2005,Jhonny Peralta,Indians,1738
2012,Matt Holliday,Cardinals,1873
2009,Raul Ibanez,Phillies,607
2007,Corey Hart,Brewers,1945
2010,Ryan Braun,Brewers,3410
2004,Paul Konerko,White Sox,242
2016,Ryan Braun,Brewers,3410
2008,Magglio Ordonez,Tigers,248
2008,Jason Giambi,Yankees,818
2004,Carlos Delgado,Blue Jays,1297
2009,Jayson Werth,Phillies,1327
2006,Ray Durham,Giants,230
2012,Chase Headley,Padres,4720
2008,Brian Giles,Padres,990
2011,Hunter Pence,- - -,8252
2008,Dustin Pedroia,Red Sox,8370
2008,Jermaine Dye,White Sox,911
2006,Robinson Cano,Yankees,3269
2009,Evan Longoria,Rays,9368
2002,Jose Vidro,Expos,802
2007,Jeff Kent,Dodgers,1119
2009,Ryan Zimmerman,Nationals,4220
2010,Jason Heyward,Braves,4940
2006,Reed Johnson,Blue Jays,1702
2010,Joe Mauer,Twins,1857
2002,Andruw Jones,Braves,96
2012,Billy Butler,Royals,7399
2014,Jayson Werth,Nationals,1327
2009,Carlos Pena,Rays,934
2006,Alfonso Soriano,Nationals,847
2003,Jose Vidro,Expos,802
2006,Carlos Delgado,Mets,1297
2006,Todd Helton,Rockies,432
2009,Nick Johnson,- - -,828
2011,Jose Reyes,Mets,1736
2008,Ryan Braun,Brewers,3410
2008,Miguel Cabrera,Tigers,1744
2009,Nick Swisher,Yankees,4599
2004,Miguel Tejada,Orioles,941
2007,Manny Ramirez,Red Sox,210
2011,Corey Hart,Brewers,1945
2002,Junior Spivey,Diamondbacks,74
2008,Grady Sizemore,Indians,2197
2012,David Wright,Mets,3787
2008,Carlos Pena,Rays,934
2012,Joe Mauer,Twins,1857
2010,Evan Longoria,Rays,9368
2012,Aaron Hill,Diamondbacks,6104
2012,Yadier Molina,Cardinals,7007
2008,Dan Uggla,Marlins,3442
2004,Jason Varitek,Red Sox,217
2009,Torii Hunter,Angels,731
2009,Victor Martinez,- - -,393
2002,Derrek Lee,Marlins,525
2012,Dexter Fowler,Rockies,4062
2004,Ichiro Suzuki,Mariners,1101
2016,Matt Carpenter,Cardinals,8090
2011,Dustin Pedroia,Red Sox,8370
2003,Edgar Renteria,Cardinals,1178
2008,Joey Votto,Reds,4314
2006,Andruw Jones,Braves,96
2006,Carlos Lee,- - -,243
2011,Aramis Ramirez,Cubs,1002
2008,Pat Burrell,Phillies,949
2007,Dmitri Young,Nationals,505
2008,Carlos Beltran,Mets,589
2008,Xavier Nady,- - -,1658
2006,Lyle Overbay,Blue Jays,1617
2006,Bill Hall,Brewers,1605
2009,Robinson Cano,Yankees,3269
2011,Robinson Cano,Yankees,3269
2008,Mark DeRosa,Cubs,1392
2003,Carl Everett,- - -,1249
2006,Scott Rolen,Cardinals,970
2003,Preston Wilson,Rockies,545
2009,Chris Coghlan,Marlins,6878
2008,Vladimir Guerrero,Angels,778
2006,Miguel Tejada,Orioles,941
2014,Freddie Freeman,Braves,5361
2004,Miguel Cabrera,Marlins,1744
2007,Kevin Youkilis,Red Sox,1935
2012,Allen Craig,Cardinals,3433
2016,Brandon Belt,Giants,10264
2002,Alfonso Soriano,Yankees,847
2002,Raul Ibanez,Royals,607
2004,Kevin Millar,Red Sox,529
2012,Carlos Gonzalez,Rockies,7287
2006,Mark Teixeira,Rangers,1281
2006,Jorge Posada,Yankees,841
2007,Grady Sizemore,Indians,2197
2002,Adam Dunn,Reds,319
2010,Billy Butler,Royals,7399
2007,Victor Martinez,Indians,393
2007,Frank Thomas,Blue Jays,255
2016,Edwin Encarnacion,Blue Jays,2151
2004,Javy Lopez,Orioles,103
2008,Troy Glaus,Cardinals,15
2002,Nomar Garciaparra,Red Sox,190
2008,Curtis Granderson,Tigers,4747
2014,Justin Morneau,Rockies,1737
2002,Steve Finley,Diamondbacks,54
2004,Brad Wilkerson,Expos,804
2010,Corey Hart,Brewers,1945
2008,Geovany Soto,Cubs,3707
2004,Johnny Damon,Red Sox,185
2008,Jack Cust,Athletics,1564
2005,Matt Holliday,Rockies,1873
2015,Matt Carpenter,Cardinals,8090
2003,Hank Blalock,Rangers,1419
2015,J.D. Martinez,Tigers,6184
2009,Johnny Damon,Yankees,185
2016,Corey Seager,Dodgers,13624
2003,Derek Jeter,Yankees,826
2009,Justin Morneau,Twins,1737
2007,Placido Polanco,Tigers,1176
2003,Garret Anderson,Angels,2
2013,Jose Bautista,Blue Jays,1887
2002,Richie Sexson,Brewers,709
2012,Austin Jackson,Tigers,9848
2008,Prince Fielder,Brewers,4613
2009,Andre Ethier,Dodgers,6265
2007,Carlos Lee,Astros,243
2016,Adrian Beltre,Rangers,639
2003,Mike Lowell,Marlins,527
2016,Jean Segura,Diamondbacks,5933
2015,Nolan Arenado,Rockies,9777
2007,Jimmy Rollins,Phillies,971
2015,A.J. Pollock,Diamondbacks,9256
2007,Derek Jeter,Yankees,826
2014,Buster Posey,Giants,9166
2008,Justin Morneau,Twins,1737
2002,Miguel Tejada,Athletics,941
2015,Kris Bryant,Cubs,15429
2002,Edgardo Alfonzo,Mets,859
2012,Paul Konerko,White Sox,242
2008,Jim Thome,White Sox,409
2004,Lyle Overbay,Brewers,1617
2004,Mike Lowell,Marlins,527
2008,Evan Longoria,Rays,9368
2015,Manny Machado,Orioles,11493
2016,Robinson Cano,Mariners,3269
2003,Jay Payton,Rockies,890
2003,Brad Wilkerson,Expos,804
2016,Brian Dozier,Twins,9810
2016,Carlos Santana,Indians,2396
2014,Nelson Cruz,Orioles,2434
2006,Victor Martinez,Indians,393
2002,Scott Rolen,- - -,970
2010,Chase Utley,Phillies,1679
2006,Gary Matthews Jr.,Rangers,153
2004,Jeff Kent,Astros,1119
2003,Steve Finley,Diamondbacks,54
2014,Matt Kemp,Dodgers,5631
2006,Nick Swisher,Athletics,4599
2011,Michael Young,Rangers,1286
2008,Adrian Gonzalez,Padres,1908
2013,Brandon Moss,Athletics,4467
2010,Mark Teixeira,Yankees,1281
2010,Scott Rolen,Reds,970
2002,Paul Konerko,White Sox,242
2009,Billy Butler,Royals,7399
2010,Hanley Ramirez,Marlins,8001
2007,Carlos Beltran,Mets,589
