Season,Name,Team,playerid
2015,Danny Salazar,Indians,5867
2006,Kelvim Escobar,Angels,1298
2007,Brad Penny,Dodgers,535
2009,Josh Beckett,Red Sox,510
2010,Ricky Romero,Blue Jays,3403
2008,Jon Lester,Red Sox,4930
2011,Brandon Morrow,Blue Jays,9346
2011,Gio Gonzalez,Athletics,7448
2002,Mike Mussina,Yankees,837
2014,Yordano Ventura,Royals,11855
2005,Brad Penny,Dodgers,535
2010,R.A. Dickey,Mets,1245
2010,Doug Fister,Mariners,9425
2010,Matt Cain,Giants,4732
2014,Rick Porcello,Tigers,2717
2009,Ted Lilly,Cubs,833
2002,Jeff Weaver,- - -,503
2014,Mark Buehrle,Blue Jays,225
2005,Aaron Harang,Reds,1451
2011,Kyle Lohse,Cardinals,739
2010,Cole Hamels,Phillies,4972
2003,Sidney Ponson,- - -,161
2015,Anthony DeSclafani,Reds,13050
2014,Jon Niese,Mets,4424
2013,Shelby Miller,Cardinals,10197
2002,Cory Lidle,Athletics,926
2004,Freddy Garcia,- - -,1077
2005,Tom Glavine,Mets,90
2011,Ubaldo Jimenez,- - -,3374
2009,Jair Jurrjens,Braves,5556
2002,Javier Vazquez,Expos,801
2015,Jason Hammel,Cubs,4538
2011,Alexi Ogando,Rangers,10261
2002,David Wells,Yankees,855
2006,Aaron Harang,Reds,1451
2010,Chris Carpenter,Cardinals,1292
2016,Julio Teheran,Braves,6797
2012,Ryan Dempster,- - -,517
2009,Brett Anderson,Athletics,8223
2005,CC Sabathia,Indians,404
2002,Mark Redman,Tigers,491
2015,Alex Wood,- - -,13781
2013,Julio Teheran,Braves,6797
2005,Carlos Zambrano,Cubs,305
2007,Dan Haren,Athletics,1757
2010,John Danks,White Sox,6329
2002,Mark Mulder,Athletics,932
2013,Andy Pettitte,Yankees,840
2012,Ryan Vogelsong,Giants,1011
2010,Jason Hammel,Rockies,4538
2011,Derek Lowe,Braves,199
2006,Derek Lowe,Dodgers,199
2008,Andy Pettitte,Yankees,840
2004,Jon Lieber,Yankees,287
2007,Aaron Harang,Reds,1451
2010,Max Scherzer,Tigers,3137
2010,Dan Haren,- - -,1757
2003,Kerry Wood,Cubs,304
2009,Jason Hammel,Rockies,4538
2016,Marcus Stroman,Blue Jays,13431
2004,Rich Harden,Athletics,1772
2002,Jarrod Washburn,Angels,40
2009,Cole Hamels,Phillies,4972
2011,Ryan Vogelsong,Giants,1011
2015,Felix Hernandez,Mariners,4772
2002,Vicente Padilla,Phillies,964
2004,Kelvim Escobar,Angels,1298
2008,Cole Hamels,Phillies,4972
2003,Woody Williams,Cardinals,1190
2005,Cory Lidle,Phillies,926
2002,Bartolo Colon,- - -,375
2009,John Lackey,Angels,1507
2011,Shaun Marcum,Brewers,6204
2005,Kevin Millwood,Indians,106
2007,Dustin McGowan,Blue Jays,8600
2009,Chad Billingsley,Dodgers,5842
2012,Jake Peavy,White Sox,1051
2013,Tim Lincecum,Giants,5705
2008,Javier Vazquez,White Sox,801
2010,Shaun Marcum,Blue Jays,6204
2014,Justin Verlander,Tigers,8700
2012,Lucas Harrell,Astros,7541
2002,Randy Wolf,Phillies,976
2012,Jered Weaver,Angels,4235
2011,Gavin Floyd,White Sox,3886
2005,Bartolo Colon,Angels,375
2004,Kris Benson,- - -,982
2014,Jake Odorizzi,Rays,6397
2015,Jordan Zimmermann,Nationals,4505
2007,Felix Hernandez,Mariners,4772
2003,Kelvim Escobar,Blue Jays,1298
2016,Robbie Ray,Diamondbacks,11486
2002,Ben Sheets,Brewers,710
2016,Gio Gonzalez,Nationals,7448
2008,Aaron Cook,Rockies,1571
2005,Scott Kazmir,Devil Rays,4897
2008,Randy Johnson,Diamondbacks,60
2013,Jorge de la Rosa,Rockies,2047
2009,Roy Oswalt,Astros,571
2003,Carl Pavano,Marlins,790
2014,Jarred Cosart,- - -,10304
2009,Gavin Floyd,White Sox,3886
2011,Charlie Morton,Pirates,4676
2013,Jeff Samardzija,Cubs,3254
2005,Randy Johnson,Yankees,60
2011,Hiroki Kuroda,Dodgers,3283
2014,John Lackey,- - -,1507
2007,Matt Cain,Giants,4732
2010,Gio Gonzalez,Athletics,7448
2011,R.A. Dickey,Mets,1245
2012,Tim Hudson,Braves,921
2011,Paul Maholm,Pirates,8678
2008,Ricky Nolasco,Marlins,3830
2009,Johan Santana,Mets,755
2008,Scott Baker,Twins,6176
2013,Edwin Jackson,Cubs,1841
2007,Chien-Ming Wang,Yankees,2074
2005,Cliff Lee,Indians,1636
2016,Michael Pineda,Yankees,5372
2014,Kyle Gibson,Twins,10123
2006,Greg Maddux,- - -,104
2010,Dallas Braden,Athletics,8099
2004,Bronson Arroyo,Red Sox,978
2002,Tomo Ohka,Expos,788
2007,Javier Vazquez,White Sox,801
2008,Roy Oswalt,Astros,571
2005,Chris Young,Rangers,3196
2012,Jon Niese,Mets,4424
2012,Jake Westbrook,Cardinals,412
2008,Felix Hernandez,Mariners,4772
2002,Miguel Batista,Diamondbacks,46
2016,Ervin Santana,Twins,3200
2009,Kevin Correia,Padres,1767
2016,John Lackey,Cubs,1507
2015,Wade Miley,Red Sox,8779
2016,Chris Archer,Rays,6345
2010,Clayton Richard,Padres,3551
2010,Mike Pelfrey,Mets,5203
2016,Tanner Roark,Nationals,8753
2013,Jose Quintana,White Sox,11423
2007,Johan Santana,Twins,755
2008,James Shields,Rays,7059
2011,John Danks,White Sox,6329
2014,Josh Collmenter,Diamondbacks,7312
2009,Paul Maholm,Pirates,8678
2008,Ubaldo Jimenez,Rockies,3374
2011,Chad Billingsley,Dodgers,5842
2011,Jon Lester,Red Sox,4930
2005,David Wells,Red Sox,855
2015,Edinson Volquez,Royals,3990
2016,Mike Leake,Cardinals,10130
2016,Drew Pomeranz,- - -,11426
2007,Cole Hamels,Phillies,4972
