Season,Name,Team,playerid
1999,Anthony Telford,Expos,1282
2012,Jared Burton,Twins,8346
2008,Scott Downs,Blue Jays,773
2012,Nate Jones,White Sox,4696
2007,Joe Beimel,Dodgers,979
2008,J.P. Howell,Rays,8245
2001,Ramiro Mendoza,Yankees,836
2012,Jamey Wright,Dodgers,715
1999,Paul Shuey,Indians,406
1997,Darren Dreifort,Dodgers,647
2005,Brian Fuentes,Rockies,429
2006,Mike Stanton,- - -,849
2014,Joel Peralta,Rays,2332
2003,Julian Tavarez,Pirates,541
2014,Brandon League,Dodgers,3731
1999,Doug Brocail,Tigers,551
2012,Robbie Ross Jr.,Rangers,6819
2003,Braden Looper,Marlins,526
2013,Brad Ziegler,Diamondbacks,7293
2008,Bobby Jenks,White Sox,8645
2002,Armando Benitez,Mets,865
1998,Paul Quantrill,Blue Jays,669
2013,Justin Wilson,Pirates,4301
2013,Jake McGee,Rays,7550
2014,Bryan Shaw,Indians,8110
2008,Tony Pena,Diamondbacks,4573
2012,Mitchell Boggs,Cardinals,3344
2007,Saul Rivera,Nationals,2027
2012,Vinnie Pestano,Indians,4782
2006,Rafael Soriano,Mariners,1100
1998,Gregg Olson,Diamondbacks,1009791
2014,Casey Fien,Twins,3926
2011,Matt Guerrier,Dodgers,2061
2006,Bob Howry,Cubs,237
2014,Jean Machi,Giants,3220
2011,Wilton Lopez,Astros,4227
2013,Seth Maness,Cardinals,12235
2003,Keith Foulke,Athletics,231
2015,Kelvin Herrera,Royals,6033
2011,Mitchell Boggs,Cardinals,3344
2015,Shawn Tolleson,Rangers,10481
1997,Greg McMichael,Mets,1008640
2000,Jim Mecir,- - -,930
1998,Dan Miceli,Padres,1463
2007,Brandon Lyon,Diamondbacks,1312
2015,Brad Ziegler,Diamondbacks,7293
2012,Craig Stammen,Nationals,7274
2013,Jim Johnson,Orioles,3656
2010,Jesse Crain,Twins,4817
2003,Joe Nathan,Giants,1122
2001,Steve Kline,Cardinals,1164
2015,Casey Fien,Twins,3926
2005,Akinori Otsuka,Padres,1895
2010,Evan Meek,Pirates,5109
2001,Tim Wakefield,Red Sox,219
2016,Felipe Rivero,- - -,12076
2006,Braden Looper,Cardinals,526
2004,Salomon Torres,Pirates,1628
2016,Brandon Maurer,Padres,4878
2006,Trevor Hoffman,Padres,1035
2002,Brian Boehringer,Pirates,984
2002,Eddie Guardado,Twins,727
2012,Tim Collins,Royals,3164
2000,Rich Garces,Red Sox,189
2013,Anthony Varvaro,Braves,2385
2004,Octavio Dotel,- - -,555
2013,Josh Collmenter,Diamondbacks,7312
2013,J.J. Hoover,Reds,9037
2015,Brad Brach,Orioles,6627
2008,Huston Street,Athletics,8258
