Season,Name,Team,playerid
2009,Joel Pineiro,Cardinals,1094
2011,Justin Masterson,Indians,2038
2013,Yu Darvish,Rangers,13074
2013,Justin Verlander,Tigers,8700
2014,James Paxton,Mariners,11828
2013,Lance Lynn,Cardinals,2520
2008,Brandon Webb,Diamondbacks,1692
2011,Daniel Hudson,Diamondbacks,7146
2010,Roy Oswalt,- - -,571
2001,Roger Clemens,Yankees,815
2004,Jaret Wright,Braves,415
2002,Kevin Millwood,Braves,106
2012,Yu Darvish,Rangers,13074
2013,Andrew Cashner,Padres,8782
2012,Jason Hammel,Orioles,4538
2006,Jeremy Bonderman,Tigers,1667
2002,Roger Clemens,Yankees,815
2008,Ervin Santana,Angels,3200
1999,Bret Saberhagen,Red Sox,1011355
2006,CC Sabathia,Indians,404
2012,Cole Hamels,Phillies,4972
2014,Johnny Cueto,Reds,6893
2010,Tommy Hanson,Braves,9129
2013,Homer Bailey,Reds,8362
2003,Javier Vazquez,Expos,801
2005,Ben Sheets,Brewers,710
2014,Kyle Hendricks,Cubs,12049
2011,David Price,Rays,3184
2010,Anibal Sanchez,Marlins,3284
2008,Mike Mussina,Yankees,837
2016,Jacob deGrom,Mets,10954
2002,Matt Morris,Cardinals,1172
2012,Marco Estrada,Brewers,1118
2016,Gerrit Cole,Pirates,13125
2003,Brandon Webb,Diamondbacks,1692
2005,Esteban Loaiza,Nationals,1310
2012,CC Sabathia,Yankees,404
2002,Derek Lowe,Red Sox,199
2002,Matt Clement,Cubs,271
2015,Michael Pineda,Yankees,5372
2012,Jeremy Hefner,Mets,1989
2012,Chad Billingsley,Dodgers,5842
2010,Zack Greinke,Royals,1943
2014,Vance Worley,Pirates,6435
1997,Denny Neagle,Braves,441
2015,Patrick Corbin,Diamondbacks,9323
2003,Darren Dreifort,Dodgers,647
2011,Anibal Sanchez,Marlins,3284
2012,Jeff Karstens,Pirates,5879
2003,Andy Pettitte,Yankees,840
2014,Lance Lynn,Cardinals,2520
2015,Trevor May,Twins,6398
1997,David Cone,Yankees,1680
2011,Jake Peavy,White Sox,1051
2009,Ricky Nolasco,Marlins,3830
2004,Bobby Madritsch,Mariners,2085
2014,Scott Kazmir,Athletics,4897
2006,John Lackey,Angels,1507
2001,Mark Mulder,Athletics,932
2013,Ricky Nolasco,- - -,3830
2015,Kyle Hendricks,Cubs,12049
2013,Corey Kluber,Indians,2429
2013,Jordan Zimmermann,Nationals,4505
2015,A.J. Burnett,Pirates,512
2006,Scott Kazmir,Devil Rays,4897
2013,Alex Cobb,Rays,6562
2002,Brian Lawrence,Padres,1045
2002,Odalis Perez,Dodgers,668
2011,Jon Niese,Mets,4424
2009,Ubaldo Jimenez,Rockies,3374
2013,Mike Minor,Braves,10021
2008,Josh Johnson,Marlins,4567
2014,Nathan Eovaldi,Marlins,9132
2008,Ben Sheets,Brewers,710
2003,Mark Mulder,Athletics,932
2003,Tim Hudson,Athletics,921
2008,Chad Billingsley,Dodgers,5842
2010,Daniel Hudson,- - -,7146
1998,Darren Dreifort,Dodgers,647
2002,Jon Lieber,Cubs,287
2011,Mike Minor,Braves,10021
2016,Steven Matz,Mets,13361
2014,Chris Archer,Rays,6345
2013,Brett Oberholtzer,Astros,3855
2001,Brad Penny,Marlins,535
2001,John Burkett,Braves,179
2014,Ervin Santana,Braves,3200
2009,CC Sabathia,Yankees,404
2011,Tim Hudson,Braves,921
2007,Kelvim Escobar,Angels,1298
2016,Blake Snell,Rays,13543
2013,Justin Masterson,Indians,2038
2016,Rick Porcello,Red Sox,2717
2004,Tim Hudson,Athletics,921
2012,Matt Cain,Giants,4732
1998,Pedro Martinez,Red Sox,200
2015,Martin Perez,Rangers,6902
1999,Greg Maddux,Braves,104
2012,Josh Johnson,Marlins,4567
2008,Ryan Dempster,Cubs,517
2016,Jon Lester,Cubs,4930
2010,Jaime Garcia,Cardinals,8137
2013,Gio Gonzalez,Nationals,7448
1999,Tim Hudson,Athletics,921
2015,Chris Bassitt,Athletics,12304
2014,Kevin Gausman,Orioles,14107
2005,Mark Buehrle,White Sox,225
