"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2005","Gary Majewski","Nationals","4","4","1","79","0","86.0","5.23","3.87","0.21",".279","75.9 %","45.8 %","2.2 %","2.93","3.69","4.88","0.7","2131"
"2003","Juan Rincon","Twins","5","6","0","58","0","85.2","6.62","3.99","0.53",".265","71.6 %","41.7 %","5.7 %","3.68","3.79","4.51","0.7","752"
"2008","Kevin Gregg","Marlins","7","8","29","72","0","68.2","7.60","4.85","0.39",".247","70.6 %","44.8 %","4.4 %","3.41","3.80","4.54","0.7","1793"
"2002","Jay Witasick","Giants","1","0","0","44","0","68.1","7.11","2.77","0.40",".284","81.2 %","53.2 %","5.0 %","2.37","3.05","3.70","0.7","1138"
"2008","Jeff Bennett","Braves","3","5","3","68","0","80.2","6.14","4.35","0.22",".274","73.0 %","66.8 %","4.8 %","3.12","3.69","4.05","0.7","1903"
"2016","Matt Bowman","Cardinals","2","5","0","59","0","67.2","6.92","2.66","0.53",".270","65.9 %","61.7 %","10.0 %","3.46","3.31","3.53","0.7","13528"
"2006","Brandon Medders","Diamondbacks","5","3","0","60","0","71.2","5.90","3.52","0.63",".303","69.7 %","41.9 %","5.6 %","3.64","4.00","4.86","0.7","8604"
"2013","J.J. Hoover","Reds","5","5","3","69","0","66.0","9.14","3.55","0.82",".244","81.1 %","30.8 %","7.4 %","2.86","3.47","3.97","0.7","9037"
"2004","Mike Timlin","Red Sox","5","4","1","76","0","76.1","6.60","2.24","0.94",".289","72.9 %","49.2 %","11.8 %","4.13","3.89","3.79","0.7","1187"
"2012","James Russell","Cubs","7","1","2","77","0","69.1","7.14","2.99","0.65",".298","75.0 %","37.4 %","5.9 %","3.25","3.48","4.35","0.7","4089"
"2008","Sean Green","Mariners","4","5","1","72","0","79.0","7.06","4.10","0.34",".307","63.7 %","63.3 %","6.1 %","4.67","3.65","3.97","0.7","3001"
"2010","Pedro Feliciano","Mets","3","6","0","92","0","62.2","8.04","4.31","0.14",".348","77.5 %","56.0 %","2.6 %","3.30","3.22","3.77","0.7","1601"
"2017","Sam Freeman","Braves","2","0","0","58","0","60.0","8.85","4.05","0.45",".278","80.0 %","58.5 %","7.0 %","2.55","3.34","3.97","0.7","6832"
"2005","Andy Sisco","Royals","2","5","0","67","0","75.1","9.08","5.02","0.72",".305","82.1 %","41.3 %","7.8 %","3.11","3.79","4.16","0.7","3706"
"2013","Darren O'Day","Orioles","5","3","2","68","0","62.0","8.56","2.18","1.02",".248","89.2 %","36.8 %","10.4 %","2.18","3.58","3.59","0.7","3321"
"2012","Tim Collins","Royals","5","4","0","72","0","69.2","12.01","4.39","1.03",".297","77.7 %","40.9 %","11.8 %","3.36","3.47","3.41","0.7","3164"
"2004","T.J. Tucker","Expos","4","1","0","53","0","65.1","5.65","2.07","0.69",".294","81.0 %","47.6 %","7.4 %","3.03","3.66","4.15","0.7","800"
"2009","Matt Albers","Orioles","3","6","0","56","0","67.0","6.58","4.84","0.40",".352","65.9 %","48.4 %","4.5 %","5.51","3.92","4.65","0.7","4300"
"2016","Carlos Torres","Brewers","3","3","2","72","0","82.1","8.53","3.28","0.87",".260","83.1 %","44.6 %","10.4 %","2.73","3.75","4.05","0.7","7624"
"2017","Jacob Barnes","Brewers","3","4","2","73","0","72.0","10.00","4.13","1.00",".272","70.9 %","53.3 %","16.0 %","4.00","3.88","3.67","0.7","12323"
"2008","Doug Brocail","Astros","7","5","2","72","0","68.2","8.39","2.75","1.05",".289","75.2 %","41.0 %","9.9 %","3.93","3.83","3.87","0.7","551"
"2005","Chad Qualls","Astros","6","4","0","77","0","79.2","6.78","2.60","0.79",".283","74.8 %","58.3 %","14.6 %","3.28","3.75","3.44","0.7","2170"
"2017","Tyler Duffey","Twins","2","3","1","56","0","71.0","8.49","2.28","1.14",".326","66.7 %","49.5 %","13.0 %","4.94","3.72","3.80","0.7","13758"
"2006","Brandon Lyon","Diamondbacks","2","4","0","68","0","69.1","5.97","2.86","0.91",".280","72.3 %","42.9 %","9.7 %","3.89","4.08","4.23","0.7","1312"
"2012","Pedro Strop","Orioles","5","2","3","70","0","66.1","7.87","5.02","0.27",".275","83.2 %","64.3 %","5.6 %","2.44","3.59","4.00","0.7","4070"
"2003","John Riedling","Reds","2","0","1","47","0","65.1","6.75","3.86","0.69",".273","72.5 %","55.9 %","10.0 %","3.58","3.81","3.93","0.7","1515"
"2013","Ernesto Frieri","Angels","2","4","37","67","0","68.2","12.84","3.93","1.44",".293","81.3 %","23.6 %","11.8 %","3.80","3.72","3.49","0.7","5178"
"2002","Willis Roberts","Orioles","5","4","1","66","0","75.0","6.12","3.84","0.60",".306","75.0 %","50.8 %","6.5 %","3.36","3.91","4.46","0.7","167"
"2007","C.J. Wilson","Rangers","2","1","12","66","0","68.1","8.30","4.35","0.53",".257","76.7 %","49.2 %","8.2 %","3.03","3.87","4.01","0.7","3580"
"2012","Luke Gregerson","Padres","2","0","9","77","0","71.2","9.04","2.64","0.88",".262","87.1 %","50.3 %","11.5 %","2.39","3.36","3.34","0.7","4090"
"2006","Tom Martin","Rockies","2","0","0","68","0","60.1","6.86","3.73","0.60",".310","63.2 %","49.2 %","7.5 %","5.07","3.93","4.30","0.7","1219"
"2014","Dominic Leone","Mariners","8","2","0","57","0","66.1","9.50","3.39","0.54",".282","83.3 %","54.7 %","9.5 %","2.17","3.07","3.07","0.7","13763"
"2003","Travis Harper","Devil Rays","4","8","1","61","0","93.0","6.19","3.00","0.87",".277","70.7 %","50.0 %","11.5 %","3.77","4.11","4.07","0.7","1211"
"2011","Burke Badenhop","Marlins","2","3","1","50","0","63.2","7.21","3.39","0.14",".327","69.9 %","58.5 %","2.4 %","4.10","2.95","3.55","0.7","9736"
"2014","Will Smith","Brewers","1","3","1","78","0","65.2","11.79","4.25","0.82",".350","74.2 %","44.2 %","11.1 %","3.70","3.25","3.08","0.7","8048"
"2007","Tony Pena","Diamondbacks","5","4","2","75","0","85.1","6.64","3.27","0.84",".232","71.8 %","48.1 %","8.2 %","3.27","4.25","4.45","0.7","4573"
"2007","Michael Wuertz","Cubs","2","3","0","73","0","72.1","9.83","4.35","1.00",".295","78.6 %","44.0 %","10.3 %","3.48","3.94","3.86","0.7","1856"
"2007","Sean Green","Mariners","5","2","0","64","0","68.0","7.01","4.50","0.26",".354","74.6 %","60.9 %","5.1 %","3.84","3.70","4.03","0.7","3001"
"2013","Aaron Loup","Blue Jays","4","6","2","64","0","69.1","6.88","1.69","0.65",".299","79.8 %","59.9 %","10.6 %","2.47","3.32","3.31","0.7","10343"
"2014","Joba Chamberlain","Tigers","2","5","2","69","0","63.0","8.43","3.43","0.43",".310","72.7 %","53.2 %","7.3 %","3.57","3.16","3.35","0.7","2692"
"2012","Ryan Webb","Marlins","4","3","0","65","0","60.1","6.56","2.98","0.30",".350","70.8 %","51.7 %","4.7 %","4.03","3.26","3.88","0.7","7474"
"2011","Matt Guerrier","Dodgers","4","3","1","70","0","66.1","6.78","3.39","0.54",".271","67.6 %","39.6 %","4.6 %","4.07","3.43","4.30","0.7","2061"
"2007","Matt Guerrier","Twins","2","4","1","73","0","88.0","6.95","2.15","0.92",".250","87.7 %","47.5 %","9.7 %","2.35","3.91","3.91","0.7","2061"
"2012","Cristhian Martinez","Braves","5","4","1","54","0","73.2","7.94","2.32","0.73",".332","72.9 %","46.2 %","8.5 %","3.91","3.16","3.52","0.7","5337"
"2013","Tommy Hunter","Orioles","6","5","4","68","0","86.1","7.09","1.46","1.15",".249","82.4 %","39.0 %","10.9 %","2.81","3.68","3.63","0.7","1157"
"2007","Ryan Franklin","Cardinals","4","4","1","69","0","80.0","4.95","1.24","0.90",".247","76.9 %","48.4 %","9.3 %","3.04","3.96","4.01","0.7","1076"
"2005","David Weathers","Reds","7","4","15","73","0","77.2","7.07","3.36","0.81",".276","71.6 %","50.2 %","10.6 %","3.94","3.82","3.82","0.7","902"
"2012","Mitchell Boggs","Cardinals","4","1","0","78","0","73.1","7.12","2.58","0.61",".245","82.4 %","52.7 %","8.8 %","2.21","3.42","3.68","0.7","3344"
"2012","Alexi Ogando","Rangers","2","0","3","57","0","63.0","9.14","2.43","1.29",".247","75.8 %","36.1 %","12.7 %","3.43","3.82","3.62","0.7","10261"
"2009","Carlos Villanueva","Brewers","3","7","3","58","0","67.0","8.87","3.09","0.94",".302","66.1 %","40.4 %","9.3 %","4.84","3.60","3.72","0.7","4138"
"2016","Daniel Hudson","Diamondbacks","3","2","5","70","0","60.1","8.65","3.28","0.90",".331","61.7 %","40.9 %","10.3 %","5.22","3.81","4.12","0.7","7146"
"2002","Carlos Silva","Phillies","5","0","1","68","0","84.0","4.39","2.36","0.43",".301","73.8 %","55.9 %","7.1 %","3.21","3.53","3.84","0.7","973"
"2017","Shane Greene","Tigers","4","3","9","71","0","67.2","9.71","4.52","0.80",".265","84.2 %","47.4 %","10.2 %","2.66","3.84","4.24","0.6","10756"
"2006","Luis Vizcaino","Diamondbacks","4","6","0","70","0","65.1","9.92","3.99","1.10",".270","79.7 %","45.1 %","13.6 %","3.58","4.05","3.73","0.6","714"
"2017","Paul Sewald","Mets","0","6","0","57","0","65.1","9.51","2.89","1.10",".287","65.0 %","32.2 %","9.9 %","4.55","3.74","4.35","0.6","13892"
"2009","Ronald Belisario","Dodgers","4","3","0","69","0","70.2","8.15","3.69","0.51",".245","81.1 %","56.0 %","7.5 %","2.04","3.51","3.76","0.6","2203"
"2003","Luis Ayala","Expos","10","3","5","65","0","71.0","5.83","1.65","1.01",".264","78.0 %","56.6 %","14.5 %","2.92","3.96","3.63","0.6","1650"
"2007","Jason Isringhausen","Cardinals","4","0","32","63","0","65.1","7.44","3.86","0.55",".212","76.8 %","44.5 %","5.9 %","2.48","3.76","4.27","0.6","1158"
"2012","Brad Ziegler","Diamondbacks","6","1","0","77","0","68.2","5.50","2.75","0.26",".264","75.1 %","75.5 %","13.3 %","2.49","3.21","3.15","0.6","7293"
"2006","Will Ohman","Cubs","1","1","0","78","0","65.1","10.19","4.68","0.83",".269","73.5 %","33.5 %","7.9 %","4.13","3.87","4.31","0.6","296"
"2013","Tanner Scheppers","Rangers","6","2","1","76","0","76.2","6.93","2.82","0.70",".252","84.4 %","50.5 %","9.2 %","1.88","3.74","3.88","0.6","10267"
"2004","Steve Reed","Rockies","3","8","0","65","0","66.0","5.18","2.32","0.95",".301","77.7 %","41.4 %","8.2 %","3.68","4.37","4.82","0.6","1053"
"2005","Akinori Otsuka","Padres","2","8","1","66","0","62.2","8.62","4.88","0.43",".294","72.6 %","47.4 %","6.5 %","3.59","3.45","3.84","0.6","1895"
"2011","Jeff Samardzija","Cubs","8","4","0","75","0","88.0","8.90","5.11","0.51",".253","75.0 %","41.0 %","5.3 %","2.97","3.66","4.27","0.6","3254"
"2008","Octavio Dotel","White Sox","4","4","1","72","0","67.0","12.36","3.90","1.61",".267","75.1 %","38.2 %","16.7 %","3.76","4.24","3.32","0.6","555"
"2009","Brandon Lyon","Tigers","6","5","3","65","0","78.2","6.52","3.55","0.80",".226","80.8 %","47.2 %","9.1 %","2.86","4.06","4.19","0.6","1312"
"2017","Kyle Barraclough","Marlins","6","2","1","66","0","66.0","10.36","5.18","0.68",".291","79.1 %","43.0 %","8.9 %","3.00","3.66","4.18","0.6","13713"
"2004","Carlos Almanzar","Rangers","7","3","0","67","0","72.2","5.45","2.35","0.99",".260","73.3 %","48.5 %","9.9 %","3.72","4.22","4.37","0.6","308"
"2007","Jason Grilli","Tigers","5","3","0","57","0","79.2","7.00","3.62","0.56",".306","64.9 %","44.8 %","5.2 %","4.74","3.89","4.60","0.6","521"
"2015","Daniel Hudson","Diamondbacks","4","3","4","63","0","64.1","9.23","3.22","0.98",".306","67.8 %","42.5 %","10.4 %","4.06","3.57","3.69","0.6","7146"
"2012","Alfredo Simon","Reds","3","2","1","36","0","61.0","7.67","3.25","0.30",".337","78.7 %","54.1 %","4.3 %","2.66","3.19","3.87","0.6","2155"
"2008","Jeremy Affeldt","Reds","1","1","0","74","0","78.1","9.19","2.87","1.03",".317","75.0 %","54.4 %","15.0 %","3.33","3.66","3.17","0.6","583"
"2015","Alex Wilson","Tigers","3","3","2","58","0","67.0","4.97","1.34","0.67",".267","81.8 %","50.2 %","6.8 %","2.28","3.54","4.17","0.6","9239"
"2007","Juan Cruz","Diamondbacks","6","1","0","53","0","61.0","12.84","4.72","1.03",".290","74.8 %","34.8 %","11.1 %","3.10","3.70","3.50","0.6","273"
"2015","Brad Ziegler","Diamondbacks","0","3","30","66","0","68.0","4.76","2.25","0.40",".218","79.3 %","72.8 %","10.7 %","1.85","3.44","3.48","0.6","7293"
"2010","David Robertson","Yankees","4","5","1","64","0","61.1","10.42","4.84","0.73",".335","78.4 %","39.6 %","8.8 %","3.82","3.58","3.66","0.6","8241"
"2017","Matt Belisle","Twins","2","2","9","62","0","60.1","8.06","3.28","1.04",".253","65.9 %","40.7 %","10.9 %","4.03","4.07","4.45","0.6","1837"
"2013","Tony Watson","Pirates","3","1","2","67","0","71.2","6.78","1.51","0.63",".227","80.7 %","43.8 %","6.7 %","2.39","3.20","3.72","0.6","3132"
"2011","Carlos Marmol","Cubs","2","6","34","75","0","74.0","12.04","5.84","0.61",".295","75.0 %","39.2 %","7.5 %","4.01","3.54","3.80","0.6","2790"
"2014","Craig Stammen","Nationals","4","5","0","49","0","72.2","6.94","1.73","0.62",".323","69.3 %","48.0 %","7.7 %","3.84","3.19","3.40","0.6","7274"
"2013","Jake McGee","Rays","5","3","1","71","0","62.2","10.77","3.16","1.15",".286","73.7 %","42.5 %","12.9 %","4.02","3.41","3.11","0.6","7550"
"2012","Joe Smith","Indians","7","4","0","72","0","67.0","7.12","3.36","0.54",".253","71.2 %","58.0 %","8.3 %","2.96","3.50","3.77","0.6","3281"
"2002","Jose Mesa","Phillies","4","6","45","74","0","75.2","7.61","4.64","0.59",".274","81.2 %","41.5 %","6.0 %","2.97","3.83","4.51","0.6","961"
"2004","Jose Mesa","Pirates","5","2","43","70","0","69.1","4.80","2.60","0.78",".312","80.6 %","45.4 %","7.3 %","3.25","4.02","4.57","0.6","961"
"2009","Jose Mijares","Twins","2","2","0","71","0","61.2","8.03","3.36","1.02",".259","89.0 %","37.6 %","8.1 %","2.34","4.01","4.36","0.6","4140"
"2013","Joel Peralta","Rays","3","8","1","80","0","71.1","9.34","4.29","0.88",".227","70.2 %","26.7 %","7.2 %","3.41","3.68","4.26","0.6","2332"
"2005","Guillermo Mota","Marlins","2","2","2","56","0","67.0","8.06","4.30","0.67",".308","65.9 %","40.6 %","6.3 %","4.70","3.68","4.33","0.6","1467"
"2009","Sean White","Mariners","3","2","1","52","0","64.1","3.92","2.80","0.42",".226","72.3 %","48.3 %","4.1 %","2.80","3.86","4.74","0.6","5564"
"2011","Rafael Perez","Indians","5","2","0","71","0","63.0","4.71","2.71","0.29",".281","67.8 %","58.4 %","4.1 %","3.00","3.30","3.86","0.6","4078"
"2003","Chad Bradford","Athletics","7","4","2","72","0","77.0","7.25","3.51","0.82",".278","80.7 %","64.4 %","18.9 %","3.04","4.04","3.56","0.6","904"
"2017","Michael Lorenzen","Reds","8","4","2","70","0","83.0","8.67","3.69","0.98",".295","70.6 %","54.6 %","15.0 %","4.45","4.01","3.89","0.6","14843"
"2003","Mike MacDougal","Royals","3","5","27","68","0","64.0","8.02","4.50","0.56",".326","69.1 %","56.5 %","9.3 %","4.08","3.94","4.11","0.6","612"
"2006","Joel Peralta","Royals","1","3","1","64","0","73.2","6.96","2.08","1.22",".294","70.9 %","31.7 %","9.5 %","4.40","4.14","4.38","0.6","2332"
"2008","Brian Wilson","Giants","3","2","41","63","0","62.1","9.67","4.04","1.01",".325","73.3 %","51.7 %","13.7 %","4.62","3.93","3.55","0.6","6485"
"2008","Buddy Carlyle","Braves","2","0","0","45","0","62.2","8.47","3.73","0.72",".280","73.6 %","43.8 %","7.9 %","3.59","3.58","3.87","0.6","2010"
"2006","Kevin Gregg","Angels","2","3","0","29","0","62.2","8.76","2.73","1.01",".335","75.8 %","35.8 %","7.9 %","3.45","3.61","4.16","0.6","1793"
"2014","Neal Cotts","Rangers","2","9","2","73","0","66.2","8.51","3.11","0.81",".314","70.6 %","34.7 %","7.7 %","4.32","3.58","3.86","0.6","1797"
"2014","Dan Otero","Athletics","8","2","1","72","0","86.2","4.67","1.56","0.42",".270","79.9 %","56.4 %","7.1 %","2.28","3.28","3.48","0.6","7385"
"2006","Ruddy Lugo","Devil Rays","2","4","0","64","0","85.0","5.08","3.92","0.42",".264","70.0 %","43.9 %","3.7 %","3.81","4.11","5.29","0.6","2710"
"2016","Taylor Rogers","Twins","3","1","0","57","0","61.1","9.39","2.35","1.03",".326","74.1 %","51.4 %","13.7 %","3.96","3.57","3.47","0.6","13449"
"2003","Scott Linebrink","Padres","2","1","0","43","0","60.2","7.57","3.26","0.74",".284","79.5 %","33.9 %","6.9 %","2.82","3.66","4.32","0.6","564"
"2008","Scot Shields","Angels","6","4","4","64","0","63.1","9.09","4.12","0.85",".296","73.8 %","53.8 %","11.3 %","2.70","3.81","3.68","0.6","35"
"2013","A.J. Ramos","Marlins","3","4","0","68","0","80.0","9.68","4.84","0.45",".266","72.9 %","38.7 %","4.6 %","3.15","3.24","4.07","0.6","8350"
"2014","Justin Grimm","Cubs","5","2","0","73","0","69.0","9.13","3.52","0.52",".294","68.7 %","49.5 %","6.1 %","3.78","3.20","3.63","0.6","11720"
"2004","Dave Burba","Brewers","3","1","2","45","0","70.2","5.99","3.06","0.76",".259","65.8 %","39.9 %","6.4 %","4.08","3.93","4.71","0.6","1239"
"2005","Duaner Sanchez","Dodgers","4","7","8","79","0","82.0","7.79","3.95","0.88",".285","75.9 %","44.2 %","9.9 %","3.73","3.98","4.08","0.6","1518"
"2008","Geoff Geary","Astros","2","3","0","55","0","64.0","6.33","3.94","0.42",".228","80.5 %","43.7 %","4.0 %","2.53","3.74","4.68","0.6","1813"
"2015","Kelvin Herrera","Royals","4","3","0","72","0","69.2","8.27","3.36","0.65",".249","78.1 %","44.7 %","8.1 %","2.71","3.44","3.82","0.6","6033"
"2008","Jesse Carlson","Blue Jays","7","2","2","69","0","60.0","8.25","3.15","0.90",".230","86.6 %","34.2 %","8.6 %","2.25","3.80","4.04","0.6","4391"
"2005","Todd Williams","Orioles","5","5","1","72","0","76.1","4.48","3.07","0.59",".269","71.3 %","65.2 %","10.9 %","3.30","4.02","4.00","0.6","805"
"2009","Francisco Rodriguez","Mets","3","6","35","70","0","68.0","9.66","5.03","0.93",".250","69.8 %","35.0 %","8.6 %","3.71","4.01","4.23","0.6","1642"
"2009","Jeremy Affeldt","Giants","2","2","0","74","0","62.1","7.94","4.48","0.43",".250","86.4 %","65.0 %","10.3 %","1.73","3.59","3.58","0.6","583"
"2006","John Grabow","Pirates","4","2","0","72","0","69.2","8.53","3.88","0.90",".310","73.5 %","48.7 %","10.8 %","4.13","3.98","3.99","0.6","1848"
"2014","Joel Peralta","Rays","3","4","1","69","0","63.1","10.52","2.13","1.28",".307","71.0 %","32.9 %","11.3 %","4.41","3.40","3.11","0.6","2332"
"2003","Francisco Rodriguez","Angels","8","3","2","59","0","86.0","9.94","3.66","1.26",".200","81.2 %","43.5 %","15.4 %","3.03","3.93","3.44","0.6","1642"
"2007","Rafael Soriano","Braves","3","3","9","71","0","72.0","8.75","1.88","1.50",".198","80.5 %","33.0 %","12.6 %","3.00","4.17","3.66","0.6","1100"
"2004","Mike Stanton","Mets","2","6","0","83","0","77.0","6.78","3.86","0.70",".269","75.6 %","43.6 %","7.1 %","3.16","3.92","4.46","0.6","849"
"2013","Grant Balfour","Athletics","1","3","38","65","0","62.2","10.34","3.88","1.01",".263","84.4 %","37.9 %","11.1 %","2.59","3.49","3.42","0.6","718"
"2009","Jason Bulger","Angels","6","1","1","64","0","65.2","9.32","4.11","0.96",".250","75.9 %","43.3 %","10.4 %","3.56","3.83","3.78","0.6","3915"
"2007","Darren Oliver","Angels","3","1","0","61","0","64.1","7.13","3.22","0.70",".275","68.0 %","48.0 %","6.4 %","3.78","3.78","4.29","0.6","206"
"2002","Scott Strickland","Mets","6","9","2","68","0","67.2","8.91","4.39","0.93",".289","77.7 %","38.0 %","9.5 %","3.59","3.88","4.05","0.6","897"
"2002","Shigetoshi Hasegawa","Mariners","8","3","1","53","0","70.1","4.99","3.84","0.51",".263","76.4 %","42.3 %","5.3 %","3.20","3.96","4.71","0.6","1082"
"2005","Jason Frasor","Blue Jays","3","5","1","67","0","74.2","7.47","3.38","0.96",".289","77.2 %","49.3 %","11.9 %","3.25","4.00","3.84","0.6","1906"
"2005","Ambiorix Burgos","Royals","3","5","2","59","0","63.1","9.24","4.41","0.85",".316","76.5 %","48.9 %","9.7 %","3.98","3.90","4.02","0.6","3246"
"2009","Jesse Carlson","Blue Jays","1","6","0","73","0","67.2","6.78","2.79","0.93",".287","66.5 %","37.1 %","7.7 %","4.66","4.00","4.42","0.6","4391"
"2005","Aaron Fultz","Phillies","4","0","0","62","0","72.1","6.72","2.86","0.75",".207","81.1 %","39.5 %","7.8 %","2.24","3.77","4.16","0.6","1113"
"2013","Rafael Soriano","Nationals","3","3","43","68","0","66.2","6.89","2.30","0.95",".287","80.3 %","33.5 %","8.1 %","3.11","3.65","4.05","0.6","1100"
"2013","Brad Ziegler","Diamondbacks","8","1","13","78","0","73.0","5.42","2.71","0.37",".258","80.7 %","70.4 %","12.5 %","2.22","3.40","3.32","0.6","7293"
"2013","Justin Wilson","Pirates","6","1","0","58","0","73.2","7.21","3.42","0.49",".229","84.9 %","53.0 %","6.7 %","2.08","3.41","3.82","0.6","4301"
"2002","Antonio Alfonseca","Cubs","2","5","19","66","0","74.1","7.39","4.36","0.61",".302","74.3 %","55.1 %","8.5 %","4.00","3.77","3.99","0.6","260"
"2013","Wilton Lopez","Rockies","3","4","0","75","0","75.1","5.73","2.15","0.72",".331","73.0 %","49.6 %","9.4 %","4.06","3.57","3.69","0.6","4227"
"2007","Joe Borowski","Indians","4","5","45","69","0","65.2","7.95","2.33","1.23",".330","68.4 %","33.7 %","9.7 %","5.07","4.12","4.12","0.6","267"
"2003","Ben Weber","Angels","5","1","0","62","0","80.1","5.15","2.46","0.78",".300","83.2 %","55.5 %","12.1 %","2.69","3.84","3.76","0.6","41"
"2008","Aquilino Lopez","Tigers","4","1","0","48","0","78.2","6.98","2.52","1.03",".308","79.1 %","29.0 %","7.1 %","3.55","3.98","4.62","0.5","1671"
"2014","Randall Delgado","Diamondbacks","3","2","0","43","0","61.1","11.45","4.11","0.73",".279","64.3 %","33.3 %","7.4 %","4.40","3.16","3.48","0.5","5985"
"2004","Damaso Marte","White Sox","6","5","6","74","0","73.2","8.31","4.15","1.22",".245","82.3 %","35.9 %","11.5 %","3.42","4.47","4.39","0.5","247"
"2012","Jose Veras","Brewers","5","4","1","72","0","67.0","10.61","5.37","0.67",".322","77.1 %","43.8 %","8.9 %","3.63","3.59","3.84","0.5","2063"
"2007","Tyler Yates","Braves","2","3","2","75","0","66.0","9.41","4.23","0.82",".314","60.3 %","46.5 %","8.8 %","5.18","3.88","3.99","0.5","1527"
"2014","Bryan Shaw","Indians","5","5","2","80","0","76.1","7.55","2.59","0.71",".251","77.0 %","45.8 %","7.8 %","2.59","3.42","3.65","0.5","8110"
"2011","Ernesto Frieri","Padres","1","2","0","59","0","63.0","10.86","4.86","0.43",".312","81.3 %","24.0 %","3.6 %","2.71","3.28","4.34","0.5","5178"
"2011","Wilton Lopez","Astros","2","6","0","73","0","71.0","7.10","2.28","0.76",".307","79.2 %","56.1 %","10.3 %","2.79","3.43","3.36","0.5","4227"
"2002","Ray King","Brewers","3","2","0","76","0","65.0","6.92","3.32","0.69",".293","79.0 %","51.9 %","10.2 %","3.05","3.67","3.71","0.5","693"
"2004","Chris Reitsma","Braves","6","4","2","84","0","79.2","6.78","2.26","1.02",".317","74.5 %","52.9 %","11.4 %","4.07","3.88","3.82","0.5","348"
"2008","Kyle McClellan","Cardinals","2","7","1","68","0","75.2","7.02","3.09","0.83",".312","72.6 %","48.5 %","9.7 %","4.04","3.96","4.02","0.5","4845"
"2013","Luis Avilan","Braves","5","0","0","75","0","65.0","5.26","3.05","0.14",".204","83.6 %","57.7 %","2.2 %","1.52","3.28","4.02","0.5","2882"
"2017","Heath Hembree","Red Sox","2","3","0","62","0","62.0","10.16","2.61","1.45",".360","80.5 %","38.9 %","13.7 %","3.63","3.92","3.91","0.5","11632"
"2005","Hector Carrasco","Nationals","4","3","2","59","0","61.2","7.01","3.65","0.73",".225","85.1 %","41.8 %","7.6 %","2.04","4.03","4.45","0.5","1240"
"2009","Bob Howry","Giants","2","6","0","63","0","63.2","6.50","3.25","0.71",".234","72.1 %","32.6 %","5.1 %","3.39","3.85","4.87","0.5","237"
"2002","Tim Wakefield","Red Sox","2","2","3","30","0","65.1","8.13","3.86","0.83",".257","75.4 %","38.0 %","8.1 %","3.44","3.87","4.24","0.5","219"
"2009","Hideki Okajima","Red Sox","6","0","0","68","0","61.0","7.82","3.10","1.18",".276","82.6 %","30.5 %","8.5 %","3.39","4.20","4.51","0.5","7763"
"2005","Matt Belisle","Reds","2","6","1","55","0","61.2","6.13","2.92","0.73",".324","69.3 %","50.7 %","9.4 %","4.09","3.83","3.96","0.5","1837"
"2006","Fernando Rodney","Tigers","7","4","7","63","0","71.2","8.16","4.27","0.75",".236","67.4 %","56.5 %","10.0 %","3.52","4.18","4.27","0.5","494"
"2008","Jesse Crain","Twins","5","4","0","66","0","62.2","7.18","3.45","0.86",".299","73.8 %","40.6 %","7.4 %","3.59","3.98","4.44","0.5","4817"
"2006","Rick Bauer","Rangers","3","1","2","57","0","65.2","4.39","3.29","0.55",".295","73.0 %","53.7 %","6.5 %","3.70","4.24","4.78","0.5","125"
"2004","Juan Cruz","Braves","6","2","0","50","0","72.0","8.75","3.75","0.88",".272","82.5 %","44.6 %","10.9 %","2.75","3.70","3.70","0.5","273"
"2003","Chris Reitsma","Reds","8","4","12","54","0","66.2","6.35","2.03","1.22",".277","78.6 %","52.4 %","17.0 %","3.51","4.05","3.46","0.5","348"
"2005","Rick White","Pirates","4","7","2","71","0","75.0","4.80","3.48","0.36",".332","70.7 %","53.8 %","5.3 %","3.72","3.79","4.32","0.5","456"
"2007","Peter Moylan","Braves","5","3","1","80","0","90.0","6.30","3.10","0.60",".234","80.3 %","62.2 %","9.5 %","1.80","3.97","3.98","0.5","4891"
"2004","Danys Baez","Devil Rays","4","4","30","62","0","68.0","6.88","3.84","0.79",".269","74.2 %","41.6 %","7.5 %","3.57","4.25","4.78","0.5","367"
"2003","Justin Speier","Rockies","3","1","9","72","0","73.1","8.10","2.82","1.35",".292","75.3 %","30.0 %","10.8 %","4.05","4.41","4.49","0.5","451"
"2014","Jake Petricka","White Sox","1","6","14","67","0","73.0","6.78","4.07","0.37",".299","79.8 %","63.4 %","7.3 %","2.96","3.60","3.76","0.5","10534"
"2005","Miguel Batista","Blue Jays","5","8","31","71","0","74.2","6.51","3.25","1.08",".297","72.6 %","46.3 %","11.1 %","4.10","4.31","4.24","0.5","46"
"2017","Ross Stripling","Dodgers","3","5","2","47","0","69.1","8.96","2.21","1.30",".302","75.7 %","49.2 %","17.9 %","4.02","3.78","3.34","0.5","13273"
"2013","Joe Smith","Indians","6","2","3","70","0","63.0","7.71","3.29","0.71",".282","86.3 %","49.1 %","9.6 %","2.29","3.60","3.70","0.5","3281"
"2003","Rick Bauer","Orioles","0","0","0","35","0","61.1","6.31","3.52","0.73",".290","63.3 %","36.6 %","7.4 %","4.55","4.06","4.62","0.5","125"
