"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2003","Mariano Rivera","Yankees","5","2","40","64","0","70.2","8.02","1.27","0.38",".294","84.8 %","54.1 %","5.6 %","1.66","2.39","2.96","2.5","844"
"2006","Francisco Rodriguez","Angels","2","3","47","69","0","73.0","12.08","3.45","0.74",".282","89.5 %","38.6 %","7.7 %","1.73","2.72","3.16","2.4","1642"
"2015","Dellin Betances","Yankees","6","4","9","74","0","84.0","14.04","4.29","0.64",".257","89.2 %","47.7 %","12.2 %","1.50","2.48","2.41","2.4","6216"
"2013","Kenley Jansen","Dodgers","4","3","28","75","0","76.2","13.03","2.11","0.70",".273","87.5 %","37.3 %","9.8 %","1.88","1.99","2.06","2.4","3096"
"2011","Mariano Rivera","Yankees","1","2","44","64","0","61.1","8.80","1.17","0.44",".275","83.3 %","46.5 %","5.7 %","1.91","2.19","2.64","2.4","844"
"2008","Brian Fuentes","Rockies","1","5","30","67","0","62.2","11.78","3.16","0.43",".297","73.0 %","32.6 %","4.5 %","2.73","2.24","3.00","2.4","429"
"2014","Sean Doolittle","Athletics","2","4","22","61","0","62.2","12.78","1.15","0.72",".246","69.2 %","23.0 %","6.3 %","2.73","1.71","2.25","2.4","1581"
"2007","Francisco Cordero","Brewers","0","4","44","66","0","63.1","12.22","2.56","0.57",".316","73.4 %","40.5 %","6.2 %","2.98","2.24","2.71","2.4","1243"
"2012","Fernando Rodney","Rays","2","2","48","76","0","74.2","9.16","1.81","0.24",".220","89.4 %","57.9 %","4.4 %","0.60","2.13","2.67","2.4","494"
"2005","Todd Jones","Marlins","1","5","40","68","0","73.0","7.64","1.73","0.25",".284","78.5 %","52.5 %","3.8 %","2.10","2.38","3.02","2.4","436"
"2004","Juan Rincon","Twins","11","6","2","77","0","82.0","11.63","3.51","0.55",".258","74.7 %","45.4 %","7.4 %","2.63","2.50","2.89","2.4","752"
"2010","Heath Bell","Padres","6","1","47","67","0","70.0","11.06","3.60","0.13",".322","81.3 %","44.0 %","1.6 %","1.93","2.05","2.98","2.4","2080"
"2017","Chad Green","Yankees","5","0","0","39","0","67.0","13.43","2.15","0.54",".230","85.6 %","27.4 %","7.0 %","1.61","1.75","2.49","2.3","15552"
"2013","Joe Nathan","Rangers","6","2","43","67","0","64.2","10.16","3.06","0.28",".224","87.2 %","32.0 %","3.0 %","1.39","2.26","3.27","2.3","1122"
"2009","Matt Thornton","White Sox","6","3","4","70","0","72.1","10.82","2.49","0.62",".298","79.2 %","46.4 %","7.7 %","2.74","2.46","2.74","2.3","1918"
"2006","Huston Street","Athletics","4","4","37","69","0","70.2","8.53","1.66","0.51",".294","69.5 %","36.9 %","4.7 %","3.31","2.62","3.58","2.3","8258"
"2017","Andrew Miller","Indians","4","3","2","57","0","62.2","13.64","3.02","0.43",".233","87.1 %","39.5 %","7.0 %","1.44","1.99","2.59","2.3","6785"
"2010","Hong-Chih Kuo","Dodgers","3","2","12","56","0","60.0","10.95","2.70","0.15",".206","85.8 %","35.6 %","1.5 %","1.20","1.81","2.96","2.3","7016"
"2003","Billy Wagner","Astros","1","4","44","78","0","86.0","10.99","2.41","0.84",".224","89.8 %","41.5 %","10.5 %","1.78","2.71","2.79","2.3","578"
"2013","Trevor Rosenthal","Cardinals","2","4","3","74","0","75.1","12.90","2.39","0.48",".341","76.7 %","44.4 %","6.5 %","2.63","1.91","2.34","2.3","10745"
"2009","Brian Wilson","Giants","5","6","38","68","0","72.1","10.33","3.36","0.37",".302","72.8 %","45.9 %","4.5 %","2.74","2.50","3.18","2.3","6485"
"2014","Craig Kimbrel","Braves","0","3","47","63","0","61.2","13.86","3.79","0.29",".235","81.5 %","41.4 %","4.9 %","1.61","1.83","2.24","2.3","6655"
"2008","Brad Lidge","Phillies","2","0","41","72","0","69.1","11.94","4.54","0.26",".296","82.9 %","46.2 %","3.9 %","1.95","2.41","3.01","2.3","563"
"2009","Michael Wuertz","Athletics","6","1","4","74","0","78.2","11.67","2.63","0.69",".266","75.1 %","45.5 %","8.5 %","2.63","2.37","2.57","2.3","1856"
"2013","Craig Kimbrel","Braves","4","3","50","68","0","67.0","13.16","2.69","0.54",".263","92.2 %","47.4 %","10.3 %","1.21","1.93","1.95","2.3","6655"
"2005","Scot Shields","Angels","10","11","7","78","0","91.2","9.62","3.63","0.49",".262","73.5 %","54.3 %","7.6 %","2.75","2.87","3.15","2.2","35"
"2016","Jeurys Familia","Mets","3","4","51","78","0","77.2","9.73","3.59","0.12",".304","74.8 %","63.3 %","2.6 %","2.55","2.39","3.03","2.2","5114"
"2009","Andrew Bailey","Athletics","6","3","26","68","0","83.1","9.83","2.59","0.54",".217","84.9 %","42.3 %","5.6 %","1.84","2.56","3.20","2.2","1368"
"2008","Hong-Chih Kuo","Dodgers","5","2","1","39","0","69.1","11.16","1.95","0.39",".275","82.8 %","45.8 %","5.3 %","1.69","1.99","2.51","2.2","7016"
